DEPTH,DT,GR_CAL,TENS
1548.6888,366.8884,100.0811,311.5008
1548.8412,366.9466,101.8288,311.0481
1548.9936,369.374,102.8184,311.1551
1549.146,368.0974,100.3549,307.9726
1549.2984,369.0859,100.3549,307.4237
1549.4508,368.8438,95.5119,305.1501
1549.6032,368.3713,105.2399,304.4053
1549.7556,369.1683,105.9348,304.1308
1549.908,368.5557,110.3566,306.344
1550.0604,367.732,98.7756,308.6979
1550.2128,365.1549,96.691,309.0346
1550.3652,363.2868,96.5857,308.7763
1550.5176,360.6329,97.9755,309.4231
1550.67,358.6164,93.6168,309.3554
1550.8224,356.5125,87.363,308.7959
1550.9748,352.9638,86.6682,310.5992
1551.1272,341.4834,83.7203,312.1707
1551.2796,327.876,81.1724,311.7556
1551.432,328.1519,78.1614,310.9234
1551.5844,328.2687,80.3723,310.403
1551.7368,336.6232,76.2242,311.2263
1551.8892,342.2133,78.5404,312.5271
1552.0416,336.5058,79.2774,311.2655
1552.194,338.1101,91.069,309.7759
1552.3464,337.8099,94.9644,310.0502
1552.4988,344.5923,99.5547,313.9901
1552.6512,353.7077,98.2913,315.4316
1552.8036,360.5376,105.7453,312.7552
1552.956,360.9344,107.893,311.9213
1553.1084,343.5496,107.0718,310.5599
1553.2608,323.4611,98.9651,312.912
1553.4132,305.848,100.8602,312.438
1553.5656,293.4301,97.6807,313.4804
1553.718,304.2983,95.5961,314.3625
1553.8704,314.1237,86.1207,313.7744
1554.0228,322.7216,88.1421,311.4419
1554.1752,330.6196,90.6689,312.4416
1554.3276,332.398,95.4066,313.6497
1554.48,330.4853,85.6785,317.087
1554.6324,325.9458,83.1518,317.9886
1554.7848,321.5493,82.6885,319.3803
1554.9372,315.7196,87.6578,319.922
1555.0896,306.2061,80.4776,319.8116
1555.242,299.2251,72.8341,321.458
1555.3944,285.9997,68.2017,323.4377
1555.5468,276.172,64.959,323.5215
1555.6992,284.0753,63.6956,319.6154
1555.8516,282.8227,69.8441,313.1668
1556.004,288.0518,80.7303,315.788
1556.1564,291.7142,90.4162,320.2427
1556.3088,296.1583,97.3648,324.4124
1556.4612,298.874,112.6939,322.634
1556.6136,304.2319,118.8634,322.3098
1556.766,303.4991,114.231,318.9491
1556.9184,298.3827,96.1225,316.8714
1557.0708,309.093,89.1739,316.4829
1557.2232,301.7514,94.3959,317.5877
1557.3756,278.2073,93.2378,315.9841
1557.528,255.019,80.9619,313.5
1557.6804,230.6749,65.0854,310.1572
1557.8328,214.8483,55.3573,314.4017
1557.9852,214.7154,56.5154,315.8058
1558.1376,214.5934,53.4412,317.0353
1558.29,223.539,62.2427,314.1665
1558.4424,233.6931,79.8459,309.0168
1558.5948,230.9802,97.049,307.8745
1558.7472,228.495,94.2906,311.6896
1558.8996,216.5421,74.3712,311.2263
1559.052,210.2915,63.9483,308.2862
1559.2044,217.0316,74.4765,305.2748
1559.3568,232.1903,83.0465,310.0895
1559.5092,246.5481,79.1089,311.5649
1559.6616,250.3771,75.7399,313.5196
1559.814,253.5131,68.5386,311.5649
1559.9664,248.414,66.6857,309.6582
1560.1188,247.1696,57.4208,309.2484
1560.2712,247.6754,59.7581,307.5413
